Lp,Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Poprawna odp,Media,Zakres struktury,Liczba punktów,Kategorie,Nazwa media tłumaczenie migowe (PJM) treść pyt,Nazwa media tłumaczenie migowe (PJM) treść odp A,Nazwa media tłumaczenie migowe (PJM) treść odp B,Nazwa media tłumaczenie migowe (PJM) treść odp C,Pytanie [EN],Odpowiedź A [EN],Odpowiedź B [EN],Odpowiedź C [EN],Pytanie [D],Odpowiedź A [D],Odpowiedź B [D],Odpowiedź C [D],Pytanie [UA],Odpowiedź A [UA],Odpowiedź B [UA],Odpowiedź C [UA]
847,4122,Od czego może zależeć bezpieczny odstęp od poprzedzającego tramwaju?,Od czasu przejazdu zawartego w rozkładzie jazdy.,Od aktualnych warunków atmosferycznych.,Od liczby przystanków na danej trasie.,B,,SPECJALISTYCZNY,3,PT,,,,,What may determine the safe distance from a preceding tram?,The travel time set out in the timetable.,The current weather conditions.,The number of tram stops on a given route.,Wovon kann ein sicherer Abstand zur vorausfahrenden Straßenbahn abhängen?,Vor der im Fahrplan enthaltenen Fahrtzeit.,Von aktuellen Wetterbendingungen.,Von der Anzahl der Haltestellen auf der Linie.,,,,
848,4123,"Do czego powinna być dostosowana w szczególności prędkość tramwaju, od której zależy możliwość bezpiecznego zatrzymania się?",Od stanu torowiska i widoczności drogi.,Od mocy i liczby silników tramwaju.,Od liczby równoległych torów.,A,,SPECJALISTYCZNY,3,PT,,,,,"If the speed of the tram determines the ability to stop safely, on what in particular should the tram's speed be adjusted to?",The condition of the track and visibility of the road.,The power and number of engines on the tram.,The number of parallel tracks.,"Woran sollte insbesondere die Geschwindigkeit der Straßenbahn angepasst werden, von der die Möglichkeit eines sicheren Anhaltens abhängt?",Vom Schienenzustand und der Sicht auf der Straße.,Von der Motorleistung und -anzahl der Straßenbahn.,Von der Anzahl der parallelen Gleise.,,,,
849,4124,"Jak powinieneś zachować się, gdy kierując tramwajem, zbliżasz się do kałuży znajdującej się na torowisku?",Przejechać z jak największą prędkością.,Przejechać z jak najmniejszą prędkością.,Zatrzymać tramwaj przed każdą kałużą.,B,,SPECJALISTYCZNY,3,PT,,,,,You are driving a tram. What should you do when approaching a puddle located on the trackway?,Drive through with the greatest possible speed.,Drive through with the least possible speed.,Stop the tram before each puddle.,"Wie soll man sich verhalten, wenn man sich einer Pfütze auf dem Planum nähert?",mit größter Geschwindigkeit durchfahren,mit kleinstmöglicher Geschwindigkeit durchfahren,vor jeder Pfütze die Straßenbahn anhalten.,,,,
850,4125,"Jaki skutek wywołuje zalegająca na torach substancja, która powstała z wilgotnych liści?",Zmniejsza możliwość wystąpienia poślizgu.,Nie ma żadnego wpływu na możliwość wystąpienia poślizgu.,Zwiększa możliwość wystąpienia poślizgu.,C,,SPECJALISTYCZNY,3,PT,,,,,What effect does residual material on the tracks originating from wet leaves induce?,It reduces the possibility of skidding.,It has no effect on the possibility skidding?,It increases the possibility of skidding.,Welche Folge hat eine auf Schienen liegende Mischung aus feuchtem Laub und Wasser?,Vermindert die Vorkommensmöglichkeit des Schleuderns.,Hat keinen Einfluss auf die Vorkommensmöglichkeit des Schleuderns.,Erhöht die Vorkommensmöglicheit des Schleuderns.,,,,
851,4126,Jaki wpływ na zachowanie tramwaju ma obecność liści na torowisku?,Nie ma wpływu na przyczepność.,Zmniejsza przyczepność.,Zwiększa przyczepność.,B,,SPECJALISTYCZNY,3,PT,,,,,How does the presence of leaves in the trackway affect the behaviour of the tram.,It has no effect on grip.,It reduces grip.,It increases grip.,Welchen Einfluss auf das Verhalten der Straßenbahn haben Blätter auf dem Planum?,Sie haben keinen Einfluss auf die Bodenhaftung,Vermindert die Bodenhaftung.,Erhöht die Bodenhaftung.,,,,
852,4127,Jaki wpływ na stan torowiska ma początkowa faza opadów?,Powoduje poprawienie przyczepności między kołami a szynami.,Stwarza zagrożenie poślizgu podczas rozruchu i hamowania.,Nie ma żadnego wpływu na jazdę tramwajem.,B,,SPECJALISTYCZNY,3,PT,,,,,What effect does the initial phase of the rainfall have on the condition of the trackway?,It results in an improved grip between the wheels and rails.,It poses a threat to skidding during start-up and braking.,It has no impact on the tram's drive.,Welchen Einfluss auf das Planum und Schienen hat die erste Niederschlagsphase?,Sie verbessert die Bodenhaftung zwischen den Rädern und den Schienen.,Sie schafft eine Schleudergefahr beim Anfahren und beim Bremsen.,Sie hat keinen Einfluss auf die Straßenbahnfahrt.,,,,
853,4128,Kiedy opady deszczu mają największy wpływ na rozruch i hamowanie tramwaju?,W początkowej fazie.,Kiedy długotrwały deszcz przechodzi w stan mżawki.,W końcowej fazie.,A,,SPECJALISTYCZNY,3,PT,,,,,When does rainfall have the greatest impact on the start-up and braking of the tram?,In the initial phase.,When a prolonged rainfall turns into a drizzle.,In the final phase.,Wann haben die Regenfälle den größten Einfluss auf das Anfahren und Bremsen einer Straßenbahn?,In der ersten Phase.,Wenn der lang andauernde Regen in den Sprühregen übergeht.,In der letzten Phase.,,,,
854,4129,Co zwiększa ryzyko wystąpienia poślizgu tramwaju?,Nagrzanie szyn przez słońce.,Oddziaływanie piasku i kurzu pokrywających szyny.,Zaleganie mokrych liści na torowisku.,C,,SPECJALISTYCZNY,3,PT,,,,,What increases the risk of a tram skidding?,Heating up of the rails by the sun.,The effect of sand and dust covering the rails.,Wet leaves covering the trackway.,Was erhöht das Vorkommensrisiko des Schleuderns einer Straßenbahn?,Das Erhitzen der Schienen durch die Sonne.,Die Sand- und Staubeinwirkung auf den Schienen.,feuchte Blätter auf den Schienen.,,,,
855,4130,W której porze roku warunki do jazdy tramwajem są najtrudniejsze?,Wiosną.,Zimą.,Jesienią.,C,,SPECJALISTYCZNY,3,PT,,,,,In which season of the year are the conditions most difficult to drive a tram?,Spring.,Winter.,Autumn.,In welcher Jahreszeit sind die Fahrtbedingungen mit einer Straßenbahn am schwierigsten?,im Frühling,im Winter,im Herbst,,,,
856,4131,"Jak powienien zachować się motorniczy, jeżeli główki szyn są zalane wodą na znaczynym odcinku?",Zatrzymać tramwaj.,Przejechać z małą prędkością.,Przejechać z dużą prędkością.,A,,SPECJALISTYCZNY,3,PT,,,,,"How should a tram driver behave, if the railheads are flooded with water on a considerable section?",Stop the tram.,Drive at low speed.,Drive at high speed.,"Wie soll sich ein Straßenbahnfahrer verhalten, wenn die Schienenköpfe auf einer langen Strecke mit Wasser überflutet sind?",Die Straßenbahn anhalten.,Mit kleiner Geschwindigkeit durchfahren.,Mit großer Geschwindigkeit durchfahren.,,,,
857,4132,"Jak powienien zachować się motorniczy, jeśli zauważy kamienie w rowkach szyn?","Przejechać z maksymalną prędkością, aby kamienie zostały odrzucone na boki.","Przejechać powoli, gdyż mała prędkość zapewnia, że tramwaj nie wykolei się.",Usunąć je przed przejechaniem takiego odcinka torów.,C,,SPECJALISTYCZNY,3,PT,,,,,"How should the tram driver behave, if he notices stones in the grooves of the rails?",Drive at maximum speed so that the stones are thrown to the sides.,"Drive slowly, because a low speed ensures the tram does not derail.",Remove the stones before driving through such section of the track.,"Wie soll sich ein Straßenbahnfahrer verhalten, wenn er Steine in Schienenrillen sieht?","Mit maximaler Geschwindigkeit durchfahren, damit die Steine zu Seiten geschleudert werden.","Langsam fahren, da eine kleine Geschwindigkeit es ermöglicht, dass die Straßenbahn nicht entgleist.",Die Steine vor dem Überfahren der Strecke entfernen.,,,,
858,4136,W jaki sposób powinno być ustawione wewnętrzne lusterko w tramwaju?,Aby widzieć tylko przestrzeń kabiny motorniczego.,Aby widzieć przestrzeń wagonu w pobliżu drzwi.,Aby widzieć obrys pojazdu.,B,,SPECJALISTYCZNY,3,PT,,,,,How should the internal mirrors on a tram be positioned?,To see only the tram driver's cabin space.,To see the area of the wagon close to the door.,To see the outline of the vehicle.,Auf welche Weise sollte der Innenspiegel in der Straßenbahn gestellt sein?,Um nur die Kabine des Straßenbahnführers zu sehen.,Um den Raum des Waggons in der Nähe der Tür zu sehen.,Um den Fahrzeugumriss zu sehen.,,,,
859,4138,"W jakiej sytuacji motorniczy może rozpocząć jazdę, jeśli pasażerowie nie odsunęli się od krawędzi przystanku?",Jeśli ma opóźnienie względem rozkładu jazdy.,Pod warunkiem zachowania szczególnej ostrożności.,"Wyłącznie wtedy, kiedy pasażerowie odsuną się na bezpieczną odległość.",B,,SPECJALISTYCZNY,3,PT,,,,,"In what situation can a tram drive start driving, if the passengers have not moved away from the edge of the tram stop.",If there is a delay relative to the timetable.,On condition that he exercises particular caution.,Only when passengers move away to a safe distance.,"In welcher Situation darf der Straßenbahnführer die Fahrt anfangen, falls die Passagiere vom Haltestellenrand nicht zurückweichten?",Falls er eine Verspätung hinsichtlich des Fahrplans hat.,Unter Einhaltung besonderer Vorsicht.,"Nur dann, wenn die Passagiere auf einen sicheren Abstand zurückweichen.",,,,
860,4141,Kiedy motorniczy może zwiększyć prędkość pokonując łuk drogi?,Przy wejściu w łuk.,Kiedy ostatni wagon opuści łuk.,Przy wyjściu z łuku pierwszego wagonu.,B,,SPECJALISTYCZNY,2,PT,,,,,When can a tram driver increase the speed negotiating a curve of the road?,At the entrance of the curve.,When the last carriage leaves the curve.,When the first carriage exits the curve.,Wann darf der Straßenbahnführer die Geschwindigkeit bei der Fahrt in der Kurve erhöhen?,Beim Einfahren in die Kurve.,Wenn der letzte Waggon die Kurve verlassen hat.,Beim Ausfahren des ersten Waggons aus der Kurve.,,,,
861,4142,"Co w tej sytuacji powinien zrobić motorniczy, bezpośrednio po zatrzymaniu tramwaju na przystanku?","Upewnić się w prawym lusterku zewnętrznym, czy pojazdy na jezdni zatrzymały się.","Włączyć prawy kierunkowskaz, aby zasygnalizować postój.",Natychmiast otworzyć drzwi i obserwować ruch pasażerów.,A,184.2org.jpg,SPECJALISTYCZNY,3,PT,,,,,"What should a tram driver do in this situation, immediately after stopping the tram at the tram stop?","Make sure, using the right exterior mirror that vehicles did not stop on the roadway.",Turn on the right turn signal to indicate a stop.,Immediately open the door to observe the movement of passengers.,Was soll in dieser Situation der Straßenbahnführer direkt nach dem Anhalten der Straßenbahn an der Haltestelle tun?,"Er soll sich im rechten Außenspiegel vergewissern, ob die Fahrzeuge auf der Fahrbahn anhielten.","Den rechten Blinker einschalten, um das Parken zu signalisieren.",Die Tür sofort aufmachen und die Bewegungen der Passagiere beobachten.,,,,
862,4143,"W jakiej sytuacji, podczas jazdy, motorniczemu wolno wyłączyć blokadę jazdy?",Na żądanie pasażera.,Przy dużym napełnieniu wagonu.,W każdej sytuacji jest zabronione.,C,,SPECJALISTYCZNY,1,PT,,,,,"In what situations while driving, is the tram driver allowed to disable the driving lock?",At the request of a passenger.,Where the wagon is crammed full with passengers.,It is forbidden in every situation.,In welcher Situation darf der Straßenbahnführer die Fahrtblockade bei der Fahrt ausschalten?,Auf Wunsch des Passagiers.,Bei jeder Auffüllung des Waggons.,Es ist in jeder Situation verboten.,,,,
863,4144,W który z wymienionych systemów hamowania powinien być wyposażony każdy tramwaj liniowy?,Sieciowy.,Roboczy.,Ręczny.,B,,SPECJALISTYCZNY,2,PT,,,,,Which of the mentioned braking systems should a cable car be equipped with?,Electric brake,Service brake,Handbrake,Mit welchem der genannten Bremssysteme soll jede Linienstraßenbahn ausgestattet sein?,Netzsystem,Arbeitssystem,Handsystem,,,,
864,4145,Co należy sprawdzić w pierwszej kolejności jeśli po załączeniu jazdy tramwaj nie rusza?,Napięcie przetwornicy.,Ustawienie nawrotnika kierunku.,Sygnalizację zamknięcia drzwi.,C,,SPECJALISTYCZNY,1,PT,,,,,What should you check first if the tram fails to move after switching on?,Converter voltage.,The setting of the direction reverser.,The closed door signalling device.,"Was soll man zuerst überprüfen, wenn nach dem Anschalten der Fahrt die Straßenbahn nicht fährt?",Spannung des Umformers,Stellung des Wendeschalters,Signalmeldung der Türschließung,,,,
865,4146,Jakie napięcie powienien wskazywać woltomierz po włączeniu baterii?,Nie mniejsze niż 38 V.,Mniejsze niż wartość określona dla danego typu tramwaju.,Większe niż wartość określona dla danego typu tramwaju.,C,,SPECJALISTYCZNY,1,PT,,,,,What voltage should the voltmeter indicate when you turn on the battery?,Not less than 38 V.,Less than the value specified for the given type of tram.,Greater than the value specified for the given type of tram.,Welche Spannung soll das Voltmeter nach dem Einschalten der Batterie anzeigen?,nicht weniger als 38 V,kleiner als der für den gegebenen Straßenbahntyp angegebene Wert,größer als der für den gegebenen Straßenbahntyp angegebene Wert,,,,
866,4147,"Co powienien zrobić motorniczy, jeśli po załączeniu jazdy nie nastąpi odhamowanie hamulców szczękowych?",Kontynuować jazdę bez podejmowania żadnych działań.,Odpiąć luzowniki.,"Wezwać nadzór ruchu, bo nie jest to możliwe bez specjalistycznych narzędzi.",B,,SPECJALISTYCZNY,1,PT,,,,,"What Should a tram driver do, if upon switching on drive the shoe brakes fail to disinhibit?",Continue driving without undertaking any actions.,Undo the brake release,"Call traffic control, because it is not possible without special tools.","Was soll der Straßenbahnführer tun, wenn nach dem Einschalten der Fahrt keine Lösung der Balkenbremsen stattfindet?",Die Fahrt ohne irgendwelche Handlungen fortsetzen.,Bremslüfter abschalten.,"Die Verkehrsaufsicht holen, da das Problem ohne Sonderwerkzeuge nicht lösbar ist.",,,,
867,4148,"Jaki skutek wywołuje wciśnięcie pedału lub wychylenie dźwigni hamulca elektordynamicznego ""za ogranicznik""?",Włączenie się hamulców szynowych.,Zwiększenie efektywności działania hamulców elektrodynamicznych.,Uszkodzenie układu hamulcowego.,A,,SPECJALISTYCZNY,1,PT,,,,,"What effect does pressing of the pedal or tilting of the electrodynamic brake's lever ""beyond the limiter"" induce?",Activation of the rail brakes.,Increased efficiency of the electrodynamic braking effect.,Damage to the brake system.,Welche Folge kommt beim Pedaldrücken bzw. Hebelbewegung der elektrodynamischen Bremse hinter den Begrenzer zum Vorschein?,Einschaltung der Schienenbremsen,Erhöhung der Wirkungseffektivität der elektrodynamischen Bremsen,Beschädigung des Bremssystems,,,,
868,4149,Czym najczęściej spowodowany jest zanik rozruchu?,"Brakiem zasilania tramwaju (np. zanik w sieci lub zatrzymanie tramwaju ""na izolatorze"").",Uszkodzeniem oświetlenia wewnętrznego wagonu.,Czynnikami atmosferycznymi.,A,,SPECJALISTYCZNY,1,PT,,,,,What most often cause loss of start-up?,"Tram power failure (e.g. loss of overhead connection or a tram stop ""on the insulator"").",Damage to the internal lighting of the wagon.,Weather conditions.,Wodurch ist meistens das ausbleibende Anfahren verursacht?,"keine Stromversorgung in der Straßenbahn (z.B. Netzwerkausfall bzw. Anhalten der Straßenbahn ""auf dem Isolator"")",Beschädigung der Innenbeleuchtung des Waggons,Wetterbedingungen,,,,
869,4155,"Czy w tej sytuacji, jeżeli zamierzasz zjechać z autostrady, powinieneś przystąpić do zmiany pasa ruchu?""",,,,T,IMG_7292d8orgbm.jpg,PODSTAWOWY,2,"A,B,C,D,A1,A2,C1,D1",pjm4155.wmv,,,,"Should you start changing lanes in this situation, if you intend to leave the highway?",,,,"Soll man in dieser Situation den Fahrspurwechsel anfangen, wenn man die Absicht hat, die Autobahn zu verlassen?",,,,"У цій ситуації, якщо Ви маєте намір з'їхати з автомагістралі (А), чи потрібно Вам перелаштуватися в іншу смугу?",,,
870,4156,Czy w tym miejscu obowiązuje zakaz zatrzymywania pojazdów?,,,,T,W10(44)org.jpg,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",pjm4156.wmv,,,,Is it forbidden to stop vehicles in this place?,,,,"Ist es an der gezeigten Stelle verboten, Fahrzeuge anzuhalten?",,,,Чи існує заборона на зупинку транспортних засобів у цьому місці?,,,
871,4158,"Czy w tej sytuacji, jadąc na wprost, wolno Ci poruszać się bezpośrednio przy prawej krawędzi jezdni?",,,,N,3138D15orgbm.jpg,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",pjm4158.wmv,,,,You intend to go straight ahead. Are you allowed to drive directly by the right edge of the roadway on the presented section of the road?,,,,Dürfen Sie beim Geradeausfahren in dieser Situation direkt an der rechten Fahrbahnkante fahren?,,,,"У цій ситуації, їдучи прямо, чи дозволено Вам їхати біля самого правого краю проїжджої частини?",,,
872,4159,Czy w tej sytuacji wolno Ci wjechać na zwężony odcinek drogi bez zatrzymania się przed sygnalizatorem?,,,,T,0686D18_aorgbm po korekcie.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",pjm4159.wmv,,,,Are you allowed in this situation to drive into the narrowed part of the road without stopping before the traffic light post?,,,,"Darf man in der dargestellten Situation auf den verengten Straßenabschnitt hinauffahren, ohne vor dem Lichtsignalgeber angehalten zu haben?",,,,Чи дозволено Вам у цій ситуації в’їхати на звужену ділянку дороги без зупинки на світлофорі?,,,
873,4160,"Która z tych czynności zwiększy bezpieczeństwo jazdy, gdy kierujesz samochodem osobowym podczas mgły ograniczającej widoczność do 40 metrów?",Włączenie świateł drogowych.,Zmniejszenie odstępu od poprzedzającego pojazdu.,Włączenie świateł przeciwmgłowych tylnych.,C,,SPECJALISTYCZNY,3,B,pjm4160.wmv,pjm4160a.wmv,pjm4160b.wmv,pjm4160c.wmv,You are driving a passenger car in a fog which limits the visibility to 40 metres. Which of these actions may improve safety of driving?,Switching on the high beam lights.,Decreasing the distance between the preceding vehicle.,Switching on the rear fog lights.,"Sie lenken einen PKW bei Nebel, der die Sicht auf 40 m beschränkt. Ausführung von welcher der genannten Tätigkeiten kann die Fahrsicherheit verbessern?",Einschalten des Fernlichts.,Verringerung des Abstandes zum vorausfahrenden Fahrzeug.,Einschalten des Nebelschlusslichtes.,"Яка з наведених дій підвищить безпеку під час керування легковим автомобілем у тумані, коли видимість обмежена до 40 метрів?",Увімкнення дальнього світла фар.,Зменшення дистанції до автомобіля попереду.,Увімкнення задніх протитуманних фар.
874,4167,"Co zrobisz, by zmniejszyć efekt wewnętrznego zaparowania przedniej szyby podczas jazdy w deszczu?",Włączę wycieraczkę przedniej szyby.,Włączę klimatyzację z nadmuchem powietrza na przednią szybę.,Skieruję nadmuch powietrza na nogi.,B,,SPECJALISTYCZNY,3,PT,,,,,What will you do to reduce the effect of internal fogging on the windshield when driving in the rain?,I will turn on the windshield wiper.,I will turn on air conditioning and direct airflow to the windshield.,I will direct airflow to the feet.,"Was tut man, um den Beschlag der Vorderscheibe bei der Fahrt im Regen zu vermindern?",Den vorderen Scheibenwischer einschalten.,Die Klimaanlage mit der Blasluft auf die Vorderscheibe einschalten.,Die Blasluft auf die Beine umstellen.,,,,
875,4169,Jak motorniczy powinien ustawić  prawe zewnętrzne lusterko?,Aby widać było cały peron i pasażerów.,Aby był widoczny bok tramwaju oraz przestrzeń za pojazdem.,"Może je złożyć, ponieważ podczas jazdy nie jest przydatne.",B,,SPECJALISTYCZNY,3,PT,,,,,How should the tram driver position the right external mirror?,To see the entire platform and passengers.,To see the side of the tram and the space behind the vehicle.,"It can be folded, because it is not useful while driving.",Wie soll der Straßenbahnführer den rechten Außenspiegel stellen?,Damit man den ganzen Bahnsteig und Passagiere sieht.,Damit die Straßenbahnseite und der Raum hinter dem Fahrzeug sichtbar sind.,"Man kann diesen Spiegel zusammenklappen, da man diesen Spiegel bei der Fahrt nicht benötigt.",,,,
876,4170,Z jaką dopuszczalną prędkością możesz jechać w strefie zamieszkania?,40 km/h,30 km/h,20 km/h,C,,SPECJALISTYCZNY,3,PT,,,,,At what permissible speed can you drive in a residential area?,40 km/h,30 km/h,20 km/h,Mit welcher zugelassenen Höchstgeschwindigkeit darf man im Wohngebiet fahren?,40 km/h,30 km/h,20 km/h,,,,
877,4172,"Czy na najbliższym skrzyżowaniu torów powinieneś ustąpić pierwszeństwa tramwajowi, który nadjeżdżałby z prawej strony?",,,,T,253TRAM1org.wmv,PODSTAWOWY,3,PT,,,,,Should you at the next rail intersection yield the right of way to a tram that could have come from the right?,,,,"Sollen Sie an der nächsten Gleiskreuzung die Vorfahrt der Straßenbahn gewähren, die von rechts kommen würde?",,,,,,,
878,4173,"Czy ze względu na nakaz zabezpieczenia pojazdu w czasie postoju wszystkie drzwi tramwaju powinny pozostać zamknięte, gdy w kabinie przebywa motorniczy?",,,,N,,PODSTAWOWY,1,PT,,,,,"Taking into account the order to secure vehicles during stops, should all the doors remain closed when the tram driver is in the cabin?",,,,"Sollen wegen des Absicherungsgebots des Fahrzeugs alle Türen geschlossen bleiben, wenn der Straßenbahnfahrer in der Kabine bleibt?",,,,,,,
879,4201,Czy w tej sytuacji masz obowiązek zmniejszyć prędkość?,,,,T,GIMBUS4Dorg.jpg,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,Are you obliged to slow down in this situation?,,,,"Ist man in dieser Situation dazu verpflichtet, die Geschwindigkeit zu verringern?",,,,Чи зобов'язані Ви зменшити швидкість у цій ситуації?,,,
880,4203,Czy w tej sytuacji masz prawo kontynuować jazdę bez zwracania uwagi na zachowanie pieszego?,,,,N,D24_11org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,Can you continue driving not taking into account the behaviour of the pedestrian?,,,,"Darf man  die Fahrt fortsetzen, ohne die Verhaltensweise des betrunkenen Fußgängers berücksichtigt zu haben?",,,,"Чи можна в цій ситуації продовжувати рух, не звертаючи уваги на поведінку пішохода?",,,
881,4205,Czy w tej sytuacji wolno Ci zawrócić?,,,,T,3914D15_aorgbm.jpg,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,Can you make a U-turn from the lane marked in this way?,,,,Darf man in dieser Situation umkehren?,,,,Чи можете Ви розвернутися в цій ситуації?,,,
882,4208,"Czy w przedstawionej sytuacji jesteś ostrzegany o zbliżaniu się do przejazdu kolejowego, wyposażonego w zapory lub półzapory?",,,,T,IMG_9890d8org.jpg,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",pjm4208.wmv,,,,Are you warned in this situation of a level crossing fitted with full barriers or half-barriers?,,,,"Wirst du in der abgebildeten Situation vor einem Bahnübergang gewarnt, der mit Schranken bzw. mit Halbschranken ausgestattet ist?",,,,"Чи у наведеній ситуації Вас попереджають про наближення до залізничного переїзду, обладнаного шлагбаумами або напівшлагбаумами?",,,
883,4211,Czy w tym miejscu wolno Ci zawrócić?,,,,N,IMG_028d9orgbm.jpg,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",pjm4211.wmv,,,,Are you allowed to make a U-turn in this place?,,,,Dürfen Sie an dieser Stelle wenden?,,,,Чи у цьому місці Ви можете розвернутися?,,,
884,4228,"Czy widoczny na jezdni znak ""stop"" uprzedza o zbliżaniu się do drogi z pierwszeństwem przejazdu?",,,,T,2716D14MM_aorgbm.jpg,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"Does this ""stop"" sign on the roadway warn you of approaching a priority road?",,,,"Warnt das auf der Fahrbahn sichtbare Zeichen ""STOPP"" davor, dass man sich einer Vorfahrtsstrasse nähert?",,,,"Чи попереджає Вас знак STOP, який Ви бачите, про наближення до головної дороги?",,,
885,4233,"Jak powinieneś zachować się, aby jechać z prędkością bezpieczną?",Utrzymywać prędkość zapewniającą uniknięcie najechania na poprzedzający pojazd.,Stosować się wyłącznie do znaków drogowych ograniczających prędkość.,Stosować się wyłącznie do zasady obowiązującej na obszarze zabudowanym.,A,,SPECJALISTYCZNY,3,PT,,,,,How should you behave to drive at a safe speed?,Maintain the speed to avoid collision with the preceding vehicle.,Adhere to the road signs restricting speed?,Adhere to the rules applicable in the built-up area?,"Wie soll man sich verhalten, um eine sichere Geschwindigkeit zu fahren?","Eine feste Geschwindigkeit einhalten, um das vorausfahrende Fahrzeug nicht aufzufahren.",Sich ausschließlich an die geschwindigkeitsbeschränkenden Zeichen halten.,Sich ausschließlich an den geltenden Grundsatz in geschlossener Ortschaft halten.,,,,
886,4242,Czy w tej sytuacji po wyminięciu pojazdu masz prawo zmienić światła mijania na drogowe?,,,,T,B.1.6.4.bzorg_skrocony.wmv,PODSTAWOWY,1,"A,B,C,D,A1,A2,B1,C1,D1",pjm4242.wmv,,,,"After passing the vehicle in this situation, are you allowed to change the low beam lights into high beam lights?",,,,"Darf man in der dargestellten Situation, nach dem Umfahren des Fahrzeugs, das Abblendlicht zum Fernlicht umschalten?",,,,"Чи у цій ситуації, після того, як Ви розминулися зі зустрічним транспортним засобом, Ви можете змінити ближнє світло фар на дальнє?",,,
887,4243,"Czy w tej sytuacji, kierując pojazdem samochodowym, wolno Ci używac wyłącznie świateł pozycyjnych?.",,,,N,642.D33org.wmv,PODSTAWOWY,1,"A,B,C,D,A1,A2,B1,C1,D1",,,,,"When driving a motor vehicle in these conditions, are you allowed to use position lights only?",,,,Darf man in dieser Situation beim Lenken eines Motorfahrzeuges ausschließlich Begrenzungslicht benutzen?,,,,"Чи в цій ситуації, під час керування автомобілем, Вам дозволяється вмикати лише габаритні вогні?",,,
888,4256,"Czy w przedstawionej sytuacji jesteś ostrzegany o skrzyżowaniu, na którym ruch odbywa się dookoła wyspy lub placu, w kierunku wskazanym na znaku?",,,,T,1638D15org.jpg,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",pjm4256.wmv,,,,"In the presented situation, are you warned of an intersection in which the traffic flows around a traffic island or a square in the direction indicated on the sign?",,,,"Wirst du in der dargestellten Situation von einer Kreuzung gewarnt, auf der der Straßenverkehr um eine Verkehrsinsel oder um einen Platz herum, in der auf dem Verkehrszeichen gezeigten Richtung, verläuft?",,,,"Чи попереджають Вас у наведеній ситуації про перехрестя, на якому рух відбувається навколо острова або площі, в напрямку, вказаному знаком?",,,
889,4257,Czy w przedstawionej sytuacji jesteś ostrzegany o znacznym wzniesieniu drogi?,,,,T,IMG_8800d8org.jpg,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",pjm4257.wmv,,,,Are you warned in this situation of a considerable road elevation?,,,,Wirst du in der abgebildeten Situation vor einer beträchtlichen Straßensteigung gewarnt?,,,,Чи попереджають Вас у наведеній ситуації про значний підйом дороги?,,,
890,4258,"Czy w tej sytuacji wolno Ci przejechać przez przejazd kolejowy bez zatrzymywania się, jeśli upewniłeś się wcześniej, że nie nadjeżdża pociąg?",,,,N,049D16org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"In the presented situation, are you allowed to drive through the railway crossing without stopping?",,,,"Darfst du in der dargestellten Situation über den Bahnübergang rüberfahren, ohne angehalten zu haben?",,,,"Чи дозволяється в даній ситуації перетинати залізничний переїзд без зупинки, якщо Ви перед цим переконалися, що поїзд не наближається?",,,
891,4260,Kierujesz pojazdem w obszarze zabudowanym. Czy w przedstawionej sytuacji masz obowiązek umożliwić kierującemu autobusem włączenie się do ruchu?,,,,T,W9(32)org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM",pjm4260.wmv,,,,"You are driving a vehicle in the built-up area. In the presented situation, are you obliged to allow the bus driver to join the traffic?",,,,"Du fährst ein Fahrzeug in geschlossener Ortschaft. Bist du in der dargestellten Situation verpflichtet, dem Busfahrer das Einfädeln in den Verkehr zu ermöglichen?",,,,Ви їдете в населеному пункті. Чи у наведеній ситуації Ви зобов’язані дати можливість водію автобуса включитися в рух (розпочати рух)?,,,
